"source","id","doi","title","authors","journal","published_date","url","abstract"
"pubmed","42708417","10.1111/jipb.70386","Plant cis-regulatory grammar: Decoding the multidimensional code of transcriptional regulation for programmable crop engineering.","Zhang, Libin; Li, Maoteng","Journal of integrative plant biology","2026-09-08","https://pubmed.ncbi.nlm.nih.gov/42708417/","Cis-regulatory elements (CREs) orchestrate the spatiotemporal precision of gene expression that underlies plant development, adaptation, and domestication. Decoding the cis-regulatory grammar of plant genomes remains a central challenge in modern biology, with profound implications for programmable crop engineering. Here, recent conceptual and technological advances are synthesized to reshape our understanding of plant CREs. This review first argues that CRE function is not only an intrinsic property of DNA sequence alone but also emerges from a multidimensional context, including chromatin accessibility, histone modifications, three-dimensional genome topology, and cell type-specific regulatory landscapes. Furthermore, the convergence of single-cell epigenomics, high-throughput functional assays, and CRISPR-based dissection has begun to unravel this contextual grammar, revealing the computational principles governing transcriptional regulation. Critically, we propose that artificial intelligence (AI) platforms are catalyzing an ongoing transition from descriptive discovery to predictive engineering, wherein these platforms outperform natural evolution in designing synthetic CREs. Finally, a roadmap is outlined toward a plant regulatory grammar foundation model, which will enable truly predictive engineering of gene expression when fine-tuned for specific tasks. Collectively, the integration of single-cell resolution maps, precise genome editing, AI-driven design, and regulatory-compliant delivery systems promises to transform our ability to reprogram plant gene regulation for next-generation agriculture, bridging the gap between foundational regulatory biology and tangible crop improvement."
"pubmed","42708413","10.1093/nar/gkag851","Loss of SUMOylation drives aberrant PRC1 clustering and 3D genome rewiring independent of H3K27me3.","Akilli, Nazli; Puel, Paul-Swann; Stefano, Marco Di; Muzzopappa, Fernando; Fritsch, Lauriane; Erdel, Fabian; Jost, Daniel; Cheutin, Thierry; Cavalli, Giacomo","Nucleic acids research","2026-09-08","https://pubmed.ncbi.nlm.nih.gov/42708413/","Polycomb repressive complex 1 (PRC1) forms nuclear condensates that organize target chromatin domains. SUMOylation modulates PRC1 clustering, but its impact on condensate properties and 3D genome architecture remains unclear. Here, we show that depletion of small ubiquitin-like modifier (SUMO) in Drosophila wing imaginal discs transforms PRC1 condensates into large structures with reduced molecular dynamics. Biophysical modeling suggests that the changes in PRC1 self-interactions are responsible for the formation of large PRC1 condensates when SUMO is depleted. Interestingly, this biophysical reorganization occurs without global loss of the H3K27me3 mark. Instead, Hi-C reveals widespread rewiring of topologically associating domain (TAD) interactions. PRC1-bound TADs lose specific long-range contacts with each other while gaining ectopic interactions with active chromatin. These topological shifts correlate with gene misregulation independently of changes in Polycomb histone modifications. Our results establish SUMOylation as a critical regulator of PRC1 condensates, demonstrating that post-translational control of biomolecular condensation modulates 3D genome architecture and transcriptional output through mechanisms separable from histone mark deposition."
"pubmed","42694465","10.3389/fcell.2026.1922536","Geometric mechanogenomics: engineering boundary conditions for deterministic cell fate control.","Taghizadeh, Mohsen; Taghizadeh, Ali; Kim, Hye Sung","Frontiers in cell and developmental biology","2026-09-04","https://pubmed.ncbi.nlm.nih.gov/42694465/","In tissue development and regeneration, cellular behavior has traditionally been interpreted through biochemical signaling frameworks. However, cells exist within physically defined environments, where geometric boundary conditions - including confinement, curvature, anisotropy, and multicellular architecture - define the mechanical state space in which mechanical forces are generated, transmitted, and interpreted. Here, we introduce geometric mechanogenomics, a conceptual framework that positions geometry as an upstream spatial regulator linking tissue-scale boundary conditions to nuclear mechanics, chromatin organization, and genome regulation. We propose a boundary-to-nucleus axis through which geometric information is decoded by adhesion-mediated mechanotransduction, cytoskeletal force transmission, and nuclear mechanoregulation to regulate chromatin accessibility, epigenetic remodeling, and transcriptional programs. Rather than introducing new mechanotransduction pathways, this framework emphasizes that geometry spatially organizes conserved mechanotransductive machinery to generate context-dependent mechanogenomic outcomes. We further discuss how engineered geometries reduce morphogenetic stochasticity, coordinate multicellular organization, and establish mechanical memory that influences long-term cell fate. Finally, we highlight current challenges in establishing predictive geometry-to-genome relationships and discuss emerging opportunities enabled by spatial omics, artificial intelligence-assisted inverse design, and dynamic biomaterials for programmable mechanobiology, regenerative medicine, developmental biology, and disease modeling."
"pubmed","42694095","10.3389/fimmu.2026.1932788","Shared Treg dysregulation underlies psoriasis vulgaris and atopic dermatitis through the PHF19-PRC2 epigenetic axis.","Lin, Yiting; Su, Xiaolei; Jin, Mingzhu; Wang, Yuqi; Li, Yaoyao; Zong, Bingquan; Song, Haoran; Lv, Yajie; Liu, Zhenhua; Wang, Gang; Wu, Shengxi","Frontiers in immunology","2026-09-04","https://pubmed.ncbi.nlm.nih.gov/42694095/","BACKGROUND: Psoriasis vulgaris (PV) and atopic dermatitis (AD) are chronic inflammatory skin diseases characterized by distinct dominant T cell subsets, yet emerging evidence suggests overlapping immune mechanisms. Whether a shared Treg abnormality underlies both diseases remains unclear. METHODS: Single-cell RNA sequencing data from lesional T cells of 8 PV, 7 AD, and 7 healthy controls were analyzed. Treg subset identification, trajectory, communication, and enrichment analyses were conducted. Differentially expressed genes from both diseases were intersected and subjected to Mendelian randomization to screen for shared causal genes, followed by interaction mapping, drug prediction, and molecular docking. Findings were validated in Foxp3-tdTomato reporter mouse models of imiquimod-induced psoriasis-like and MC903-induced AD-like dermatitis by flow cytometry and quantitative PCR. RESULTS: A shared Treg triad remodeling pattern was identified: central memory Treg (cmTreg) was almost completely depleted, cycling Treg (Treg-c) expanded, and effector Treg (eTreg) accumulated in both diseases. Pseudotemporal analysis revealed a differentiation coordination defect, with upstream Treg-c shifting prematurely while effector Treg failed terminal maturation. Cell communication analysis identified enhanced MIF-(CD74+CXCR4/CD44) signaling as a shared intercellular remodeling axis, with the network shifting from a cmTreg-centric topology to one jointly centered on Treg-c and eTreg. Mendelian randomization identified seven shared causal genes (PDCD5, PHF19, GNAQ, LRR1, DHX36, TMEM107, FAM200B), with PHF19 serving as a core accessory subunit of PRC2. Molecular docking and in vivo experiments demonstrated that resveratrol binds PHF19, is predicted to activate the PHF19-PRC2-H3K27me3 axis, restores Treg subset homeostasis, and ameliorates skin lesions in both models. CONCLUSIONS: Treg subset remodeling is a shared pathogenic feature, nominating PHF19-targeted activation as a tolerance-restoring therapeutic strategy."
"pubmed","42692011","10.1016/j.stemcr.2026.103075","Methylome profiling of SetDB1-deficient ESCs reveals coordinated epigenetic cross-talk during pluripotency.","Bovee, Nick G P; Habibi, Ehsan; Liu, Zicong; Hoogland, Stefan H A; Frolich, Siebren; Diepenbroek, Danielle; Bosman, Kim C M; Arand, Julia; Maksakova, Irina A; Kranenbarg, Anouk Klein; Walter, Jorn; Brinkman, Arie B; Mulder, Klaas W; Jansen, Joop H; Vermeulen, Michiel; Lorincz, Matthew; Stunnenberg, Hendrik G; Marks, Hendrik","Stem cell reports","2026-09-03","https://pubmed.ncbi.nlm.nih.gov/42692011/","SetDB1 is best known for catalyzing H3K9me3, but it also influences H3K27me3 deposition, CTCF-binding, and DNA methylation (DNAme). Given the interplay between DNAme and the other epigenetic features, we profiled DNAme following Setdb1 knockout (KO) in ground-state and serum-grown mouse embryonic stem cells (ESCs) to illuminate DNAme-dependent and -independent functions of SetDB1. Time-course whole-genome bisulfite sequencing of serum-grown ESCs shows that nearly half of SetDB1 binding sites are enriched with DNAme and H3K9me3, primarily at retrotransposons. Upon Setdb1 KO, both H3K9me3 and DNAme are reduced, with DNAme rapidly removed at many sites by TET enzymes. Some retrotransposons, primarily IAPs, are TET-resistant and lose DNAme slowly via passive dilution. Notably, SetDB1-mediated regulation of H3K27me3, CTCF-binding, and SMAD3 are uncoupled from the DNAme-H3K9me3 axis, and from each other. AlphaFold modeling and co-immunoprecipitation mass spectrometry suggest this uncoupling involves competitive binding to distinct SetDB1 protein domains, highlighting the complex coordination underlying SetDB1 functions."
"pubmed","42690471","10.1007/s11274-026-05249-6","From metabolites to membrane vesicles: Unifying gut microbial signals in obesity, t2dm, and MASLD.","Muttiah, Barathan; Venkatraman, Gopinath; Abdul-Rahman, Puteri Shafinaz","World journal of microbiology & biotechnology","2026-09-03","https://pubmed.ncbi.nlm.nih.gov/42690471/","Obesity, Type 2 diabetes mellitus (T2DM) and metabolic dysfunction-associated steatotic liver disease (MASLD) represent interconnected global health problems that can be caused by dietary factors, life-style changes and alterations in the gut microbiota composition. While numerous reports highlight the connections between microbial taxa and the host diseases, the underlying molecular mechanisms behind the impact of metabolites on the disease development remain poorly defined. In this review, the connection between four interrelated pathways through which metabolites from the gut microbiota affect metabolic disease are highlighted. They include (i) reprogramming of host metabolism through histone deacetylase (HDAC) inhibition and remodeling of the chromatin structure; (ii) mitochondrial dysfunction and disturbance in redox balance; (iii) hijacking of receptors and pathway biased crosstalk (FFAR2/3, GPR109A, FXR, TGR5, AhR, TLR4) and (iv) disruption of intestinal barrier and induction of metabolic endotoxemia. Such axes form a feedback network through which the inflammation and insulin resistance spread over the entire gut-adipose-liver-pancreas-muscle axis. The effect of the metabolites is very context-dependent since it relies on the concentration threshold, receptor bias, disease state and interaction between the host genotype and enterotype. The translational applications include composite metabolite biomarkers, enterotype-based therapeutic approaches, bacterial extracellular vesicles and machine learning approaches to develop multi-omics data analysis resulting in generation of a digital twin model."
"pubmed","42687624","10.1097/ICU.0000000000001251","Artificial intelligence-guided engineering of precision ocular therapeutics.","Sayana, Ruhi; Wang, Sean K; Ting, Daniel S W; Guo, Lucie Y","Current opinion in ophthalmology","2026-09-03","https://pubmed.ncbi.nlm.nih.gov/42687624/","PURPOSE OF REVIEW: This review surveys recent advances in artificial intelligence-guided small molecule discovery and gene therapy, with a focus on generative and foundation models, and their translational applications to ophthalmic therapeutics. RECENT FINDINGS: A unifying theme across recent work is the shift from artificial intelligence as a screening tool to artificial intelligence as an engine for generative design. In small molecule discovery, reinforcement learning and diffusion-based generative models are producing structurally novel candidates for ophthalmic indications with demonstrated preclinical efficacy, while structure-based approaches leveraging AlphaFold and co-folding models are improving target identification and virtual screening. In gene therapy, artificial intelligence-guided AAV capsid engineering has yielded vectors with improved retinal transduction efficiency in nonhuman primates. Complementing this, deep learning models trained on chromatin accessibility data are enabling de novo design of compact, cell-type-specific regulatory elements, with direct implications for the specificity and payload capacity of ocular gene therapy vectors. Artificial intelligence-guided CRISPR guide RNA optimization is further expanding the precision of gene editing-based approaches. SUMMARY: Artificial intelligence tools may influence the landscape of ophthalmic drug discovery, from nominating small molecule candidates to co-designing next-generation gene therapy vectors. Rigorous experimental validation remains essential; artificial intelligence-nominated candidates and predictions must be tested empirically to confirm their safety, biological relevance, and therapeutic efficacy."
"pubmed","42686907","10.1038/s41586-026-10987-6","3D epigenome of glial cell types in developing human cortex.","Jones, Ian R; Wang, Li; Kosicki, Michael; Battle, Stephanie L; Narayan, Vivek Jj; Bi, Qiuli; Gemenes, Kaila; Liu, Yuxi; Zhou, Lingbo; Song, Mengyi; White, Matthew; Olson, Wendy; Beuchat, Gabriel; Dickel, Diane; Li, Yun; Pennacchio, Len A; Hawkins, R David; Kriegstein, Arnold; Shen, Yin","Nature","2026-09-03","https://pubmed.ncbi.nlm.nih.gov/42686907/","The human cortex is complex and heterogeneous, undergoing extensive expansion during development(1,2). Our prior study of neurogenesis, including radial glia (RG), intermediate progenitor cells, excitatory neurons and interneurons demonstrated that chromatin looping underlies transcriptional regulation for lineage-specific genes, shedding light on how non-coding genetic variants contribute to neuropsychiatric disorders by means of cell-type-specific gene regulation(3). RG have a crucial role in generating cellular diversity through both neurogenesis and gliogenesis and can be further classified into ventricular RG (vRG) and outer RG (oRG)(4,5). Given their significance in cortical development, we conducted a comprehensive three-dimensional (3D) epigenomic analysis of four main glial populations, including vRG, oRG, oligodendrocyte precursor cells and microglia, from the mid-gestational human neocortex. By integrating gene expression, chromatin accessibility, DNA methylation and 3D chromatin interactions, we identified cell-type-specific candidate cis-regulatory elements (cCREs) and validated their regulatory function using transgenic mouse embryos. Using machine learning, we prioritized 112 schizophrenia risk variants within glia cCREs and further confirmed the predicted vRG enhancer disruption by the rs4449074 risk allele in vivo. Finally, oRG cCREs are enriched for human accelerated regions compared with other cCREs and a subset of human accelerated regions show activity differences from their chimpanzee orthologues that interact with genes involved in neuronal development. Our findings advance the understanding of human-specific gene regulation during corticogenesis."
"pubmed","42685970","10.1016/j.nbt.2026.08.008","LLM-guided prediction of riboswitch-ligand binding affinity under data-limited conditions.","An, Sunggi; Mun, Sofia; Jung, Yousung; Kim, Hyun Uk","New biotechnology","2026-09-03","https://pubmed.ncbi.nlm.nih.gov/42685970/","Riboswitches are RNA regulatory elements that sense small molecules and regulate gene expression through ligand-induced conformational changes in an aptamer domain. They enable synthetic biology applications such as biosensing and gene circuit design. Accurate prediction of riboswitch-ligand binding affinity, quantified by the dissociation constant (K(d)), is essential for rational riboswitch engineering. We present a neuro-symbolic framework in which LLM-derived embeddings encode riboswitch sequences, secondary structures, and ligand representations into a unified representation that captures riboswitch-ligand interaction context, while domain-informed rules encode explicit biochemical priors. Despite limited labeled data, this framework achieves strong predictive performance and improved data efficiency. It predicts min-max log-scaled pK(d) values and supports binary classification of binding strength, particularly by mitigating systematic overestimation of affinity. More broadly, the results suggest that LLM-based neuro-symbolic representations provide an effective route for modeling riboswitch-ligand interactions under data-limited conditions."
"pubmed","42682200","10.1093/g3journal/jkag230","Leveraging human-trained neural networks for cross-species chromatin regulation annotations.","Maillard, Noemien; Demars, Julie; Mourad, Raphael","G3 (Bethesda, Md.)","2026-09-02","https://pubmed.ncbi.nlm.nih.gov/42682200/","Analogous to the Encyclopedia of DNA Elements (ENCODE) project, the Functional Annotation of ANimal Genomes (FAANG) consortium has produced chromatin annotations for domesticated animals, albeit in smaller amounts. Although acquiring experimental data is more accessible and affordable for many species, human and mouse organisms will remain the reference. Classical methods based on sequence conservation can be used to infer missing annotations, but are inappropriate for non-conserved sequences. While regulatory sequences share low to moderate conservation, they have retained their regulatory function during the evolution process. Here, we take advantage of three neural networks (DeepBind, DeepSEA, and Enformer) trained with human and mouse ENCODE data to infer chromatin annotations (transcription factors binding, chromatin accessibility, and histone marks) in cattle, pig, chicken, and European seabass. For this purpose, we comprehensively assessed the quality of predictions using experimental data from FAANG, through AUC-ROC and AUC-PR metrics. Our results showed low variability between tissues and similar performances for various annotations in mammals and chicken, with AUC-PR ranging from 0.663 +/- 0.010 (chicken) to 0.765 +/- 0.009 (pig) for the best predicted experiment, H3K4me3 (all tissues grouped), but lower (0.238 +/- 0.005) in fish. Further analyses focused on pigs highlighted (i) accurate predictions even for non-conserved sequences, and (ii) variable predictions depending on genomic feature annotations. Our results advocate the widespread use of human-trained neural networks as a first step in cross-species genome annotation before training species-specific models."
